HGNC approved symbol,Product,Function,Protein complex,Target entity,HGNC approved name,UniProt ID (human),Pfam domains,UniProt ID (mouse),Modification
ANP32B,#,Histone chaperone,#,"H3, H4","acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",AN32B_HUMAN,"LRR_4 PF12799 88-136, Pfam-B_30686 PB030686 171-249",AN32B_MOUSE,#
ANP32E,#,"Histone chaperone, Histone modification read",SWR,H2A.Z,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",AN32E_HUMAN,"LRR_4 PF12799 88-133, LRR_8 PF13855 65-125, Pfam-B_38005 PB038005 215-262, Pfam-B_94319 PB094319 171-200",AN32E_MOUSE,#
APBB1,#,Histone modification,#,H2AX,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",APBB1_HUMAN,"PID PF00640 370-509 543-664, Pfam-B_23321 PB023321 1-215, WW PF00397 255-283",APBB1_MOUSE,#
APEX1,#,DNA modification cofactor,#,#,APEX nuclease (multifunctional DNA repair enzyme) 1,APEX1_HUMAN,"Exo_endo_phos PF03372 65-309, Pfam-B_21616 PB021616 1-39",APEX1_MOUSE,DNA demethylation
APOBEC1,U,"DNA modification, RNA modification",APOB_mRNA_editosome,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",ABEC1_HUMAN,APOBEC_N PF08210 17-186,ABEC1_MOUSE,"DNA demethylation, mRNA editing"
APOBEC2,hmU,"DNA modification, RNA modification",#,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2",ABEC2_HUMAN,"APOBEC_C PF05240 159-216, Pfam-B_38491 PB038491 1-39",ABEC2_MOUSE,"DNA demethylation, mRNA editing"
APOBEC3A,dhU,"DNA modification, RNA modification",#,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A",ABC3A_HUMAN,APOBEC_C PF05240 133-187,#,"DNA demethylation, mRNA editing"
APOBEC3B,dhU,"DNA modification, RNA modification",#,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B",ABC3B_HUMAN,"APOBEC_C PF05240 316-370, APOBEC_N PF08210 11-190",ABEC3_MOUSE,"DNA demethylation, mRNA editing"
APOBEC3C,dhU,"DNA modification, RNA modification",#,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C",ABC3C_HUMAN,APOBEC_C PF05240 128-182,#,"DNA demethylation, mRNA editing"
APOBEC3D,dhU,"DNA modification, RNA modification",#,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D",ABC3D_HUMAN,APOBEC_C PF05240 140-194 324-378,#,"DNA demethylation, mRNA editing"
APOBEC3F,dhU,"DNA modification, RNA modification",APOB_mRNA_editosome,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F",ABC3F_HUMAN,APOBEC_N PF08210 3-189 199-373,#,"DNA demethylation, mRNA editing"
APOBEC3G,dhU,"DNA modification, RNA modification",APOB_mRNA_editosome,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G",ABC3G_HUMAN,APOBEC_N PF08210 3-182 202-380,#,"DNA demethylation, mRNA editing"
APOBEC3H,dhU,"DNA modification, RNA modification",APOB_mRNA_editosome,"ssDNA, mRNA, mC","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H",ABC3H_HUMAN,"APOBEC_C PF05240 116-174, dCMP_cyt_deam_1 PF00383 24-99",#,"DNA demethylation, mRNA editing"
ARID1A,#,Chromatin remodeling cofactor,"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, WINAC, bBAF, SWI/SNF BRM-BRG1",DNA motif,AT rich interactive domain 1A (SWI-like),ARI1A_HUMAN,"ARID PF01388 1015-1104, DUF3518 PF12031 1975-2231, Pfam-B_16906 PB016906 451-499, Pfam-B_1854 PB001854 281-379",ARI1A_MOUSE,#
ARID1B,#,Histone modification write,"BAF, nBAF, npBAF, PBAF, SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1","H2BK120, DNA motif",AT rich interactive domain 1B (SWI1-like),ARI1B_HUMAN,"ARID PF01388 1050-1140, DUF3518 PF12031 1926-2182, Pfam-B_60945 PB060945 291-369, Pfam-B_7257 PB007257 371-449",#,Histone ubiquitination
ARID2,#,Chromatin remodeling cofactor,PBAF,DNA motif,"AT rich interactive domain 2 (ARID, RFX-like)",ARID2_HUMAN,"ARID PF01388 10-101, Pfam-B_11884 PB011884 1660-1747, Pfam-B_14804 PB014804 1051-1098, Pfam-B_649 PB000649 1529-1658, Pfam-B_6603 PB006603 1239-1268, RFX_DNA_binding PF02257 517-604",#,#
ARID4A,#,Histone modification write cofactor,mSin3A,DNA motif,AT rich interactive domain 4A (RBP1-like),ARI4A_HUMAN,"ARID PF01388 306-397, Pfam-B_1988 PB001988 1071-1111 1166-1240, RBB1NT PF08169 168-263, Tudor-knot PF11717 573-630",#,Histone acetylation
ARID4B,#,Histone modification write cofactor,mSin3A,DNA motif,AT rich interactive domain 4B (RBP1-like),ARI4B_HUMAN,"ARID PF01388 304-394, Pfam-B_15110 PB015110 771-828, RBB1NT PF08169 166-264, Tudor-knot PF11717 569-626",ARI4B_MOUSE,Histone acetylation
ARNTL,#,"Histone modification write cofactor, TF",#,#,aryl hydrocarbon receptor nuclear translocator-like,BMAL1_HUMAN,"HLH PF00010 73-126, PAS PF00989 146-253, PAS_11 PF14598 337-444, Pfam-B_2781 PB002781 455-619",BMAL1_MOUSE,TF activator
ARRB1,#,Histone modification,#,#,"arrestin, beta 1",ARRB1_HUMAN,"Arrestin_C PF02752 193-356, Arrestin_N PF00339 18-174",ARRB1_MOUSE,#
ASF1A,#,Histone chaperone,#,"H3, H4",anti-silencing function 1A histone chaperone,ASF1A_HUMAN,ASF1_hist_chap PF04729 1-154,ASF1A_MOUSE,#
ASF1B,#,Histone chaperone,#,"H3, H4",anti-silencing function 1B histone chaperone,ASF1B_HUMAN,ASF1_hist_chap PF04729 1-154,ASF1B_MOUSE,#
ASH1L,H3K36me,Histone modification write,#,H3K36,"ash1 (absent, small, or homeotic)-like (Drosophila)",ASH1L_HUMAN,"BAH PF01426 2661-2798, Bromodomain PF00439 2453-2538, PHD PF00628 2587-2631, Pfam-B_14208 PB014208 1818-1847, Pfam-B_18246 PB018246 2310-2419, Pfam-B_25586 PB025586 1473-1507, Pfam-B_4663 PB004663 1023-1054 1180-1377, Pfam-B_6310 PB006310 1509-1554, SET PF00856 2156-2261",ASH1L_MOUSE,Histone methylation
ASH2L,#,Histone modification write cofactor,"COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4",#,"ash2 (absent, small, or homeotic)-like (Drosophila)",ASH2L_HUMAN,"Pfam-B_11232 PB011232 499-622, Pfam-B_12412 PB012412 361-417, SPRY PF00622 418-497",ASH2L_MOUSE,Histone methylation
ASXL1,H2AK119ub1,"Histone modification erase, Polycomb group (PcG) protein",PR-DUB,H2AK119,additional sex combs like transcriptional regulator 1,ASXL1_HUMAN,"ASXH PF13919 231-362, HARE-HTH PF05066 11-83, PHD_3 PF13922 1475-1539, Pfam-B_4087 PB004087 970-1084",ASXL1_MOUSE,Histone deubiquitination
ASXL2,#,Histone modification read,#,"H3K4, H3K9",additional sex combs like transcriptional regulator 2,ASXL2_HUMAN,"ASXH PF13919 249-381, HARE-HTH PF05066 11-83, PHD_3 PF13922 1370-1433, Pfam-B_4087 PB004087 944-1090",ASXL2_MOUSE,#
ASXL3,#,"Scaffold protein, Polycomb group (PcG) protein",#,#,additional sex combs like transcriptional regulator 3,ASXL3_HUMAN,"ASXH PF13919 229-361, HARE-HTH PF05066 10-81, PHD_3 PF13922 2183-2246, Pfam-B_17129 PB017129 941-1279, Pfam-B_20113 PB020113 751-939, Pfam-B_27498 PB027498 1341-1411, Pfam-B_34336 PB034336 1281-1339, Pfam-B_6874 PB006874 601-669",ASXL3_MOUSE,#
ATAD2,#,Chromatin remodeling,#,#,"ATPase family, AAA domain containing 2",ATAD2_HUMAN,"AAA PF00004 463-598, Bromodomain PF00439 993-1075, Pfam-B_11064 PB011064 870-958, Pfam-B_23116 PB023116 1-56, Pfam-B_40477 PB040477 57-79",ATAD2_MOUSE,#
ATAD2B,#,Histone modification read,#,"H1.4, H2A, H2B, H3 and H4","ATPase family, AAA domain containing 2B",ATD2B_HUMAN,"AAA PF00004 437-572, Bromodomain PF00439 967-1050, Pfam-B_11064 PB011064 896-932, Pfam-B_130965 PB130965 330-388",#,#
ATF2,#,"Histone modification write, TF",#,"H2B, H4, DNA motif",activating transcription factor 2,ATF2_HUMAN,bZIP_1 PF00170 349-413,ATF2_MOUSE,"Histone acetylation, TF activator"
ATF7IP,#,Histone modification write cofactor,#,#,activating transcription factor 7 interacting protein,MCAF1_HUMAN,Pfam-B_2570 PB002570 450-518,MCAF1_MOUSE,Histone methylation
ATM,#,Histone modification write,#,H2AXS139,ATM serine/threonine kinase,ATM_HUMAN,"FAT PF02259 2096-2489, FATC PF02260 3024-3056, PI3_PI4_kinase PF00454 2711-2962, Pfam-B_10220 PB010220 1575-1713, Pfam-B_13450 PB013450 602-830, Pfam-B_16049 PB016049 1715-1818, Pfam-B_17604 PB017604 1819-1953, Pfam-B_3386 PB003386 861-1458, TAN PF11640 5-166",ATM_MOUSE,Histone phosphorylation
ATN1,#,Histone modification erase cofactor,#,#,atrophin 1,ATN1_HUMAN,Atrophin-1 PF03154 1-163 349-1190,ATN1_MOUSE,#
ATR,#,Histone modification write,#,H2AX,ATR serine/threonine kinase,ATR_HUMAN,"FAT PF02259 1771-2092, FATC PF02260 2612-2644, PI3_PI4_kinase PF00454 2321-2567, Pfam-B_15857 PB015857 1226-1489, Pfam-B_17853 PB017853 1-129, Pfam-B_20071 PB020071 291-659, Pfam-B_21066 PB021066 131-289, Pfam-B_21726 PB021726 661-1009, Pfam-B_22672 PB022672 1011-1079, UME PF08064 1119-1225",ATR_MOUSE,Histone phosphorylation
ATRX,#,Chromatin remodeling,#,"H3K9me2, H3K9me3, H3K4",alpha thalassemia/mental retardation syndrome X-linked,ATRX_HUMAN,"Helicase_C PF00271 2076-2155, Pfam-B_12326 PB012326 1906-2016, Pfam-B_14952 PB014952 1242-1362, Pfam-B_16104 PB016104 2368-2490, Pfam-B_16400 PB016400 1424-1474, Pfam-B_17163 PB017163 1364-1422, Pfam-B_19720 PB019720 751-889, Pfam-B_24253 PB024253 1181-1239, Pfam-B_3534 PB003534 45-304, SNF2_N PF00176 1563-1889",ATRX_MOUSE,#
ATXN7,#,Histone modification write cofactor,SAGA,#,ataxin 7,ATX7_HUMAN,"Pfam-B_15485 PB015485 781-879, Pfam-B_23658 PB023658 129-174, Pfam-B_6735 PB006735 491-579, SCA7 PF08313 318-397",ATX7_MOUSE,Histone acetylation
ATXN7L3,#,Histone modification erase cofactor,SAGA,#,ataxin 7-like 3,AT7L3_HUMAN,"Pfam-B_25595 PB025595 276-345, SCA7 PF08313 201-239, Sgf11 PF08209 80-112",AT7L3_MOUSE,Histone deubiquitination
AURKA,H3S10ph,Histone modification write,#,H3,aurora kinase A,AURKA_HUMAN,"Pfam-B_20489 PB020489 1-59, Pkinase PF00069 133-383",AURKA_MOUSE,Histone phosphorylation
AURKB,#,Histone modification write,#,"H3S10, H3S28",aurora kinase B,AURKB_HUMAN,"Pfam-B_34716 PB034716 1-46, Pkinase PF00069 77-327",AURKB_MOUSE,Histone phosphorylation
AURKC,#,Histone modification write,#,"H3S10, H3S28",aurora kinase C,AURKC_HUMAN,Pkinase PF00069 43-293,AURKC_MOUSE,Histone phosphorylation
BABAM1,#,Histone modification erase cofactor,"BRISC, BRCA1-A",#,BRISC and BRCA1 A complex member 1,BABA1_HUMAN,Pfam-B_4074 PB004074 1-327,BABA1_MOUSE,Histone deubiquitination
BAHD1,#,Chromatin remodeling,#,H3K27me3,bromo adjacent homology domain containing 1,BAHD1_HUMAN,BAH PF01426 623-779,BAHD1_MOUSE,#
BANP,#,Histone modification write,#,"H3K9, H4K8",BTG3 associated nuclear protein,BANP_HUMAN,BEN PF10523 249-322,BANP_MOUSE,Histone acetylation
BAP1,H2AK119,"Histone modification erase, Polycomb group (PcG) protein",PR-DUB,H2AK119ub1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),BAP1_HUMAN,"Peptidase_C12 PF01088 4-217, Pfam-B_14567 PB014567 441-579, Pfam-B_16218 PB016218 271-439, Pfam-B_4660 PB004660 581-693",BAP1_MOUSE,Histone deubiquitination
BARD1,"H2AXub, H2Aub, H2Bub, H3ub, H4ub",Histone modification write,"BRCC, BRCA1-A","H2AX, H2A, H2B, H3, H4",BRCA1 associated RING domain 1,BARD1_HUMAN,"Ank PF00023 427-459 460-491 493-525, BRCT PF00533 568-640, Pfam-B_30184 PB030184 161-239, Pfam-B_32178 PB032178 241-290, Pfam-B_32432 PB032432 291-339, Pfam-B_33025 PB033025 723-775, zf-RING_6 PF14835 41-105",BARD1_MOUSE,Histone ubiquitination
BAZ1A,#,Histone chaperone,"ACF, CHRAC",#,"bromodomain adjacent to zinc finger domain, 1A",BAZ1A_HUMAN,"Bromodomain PF00439 1438-1521, DDT PF02791 422-487, PHD PF00628 1150-1198, Pfam-B_18021 PB018021 670-767, Pfam-B_18567 PB018567 769-877, Pfam-B_19398 PB019398 1210-1430, WAC_Acf1_DNA_bd PF10537 22-122, WHIM1 PF15612 592-640",BAZ1A_MOUSE,#
BAZ1B,H2AXY142ph,Histone modification write,"B-WICH, WINAC","H2AXT142, H3","bromodomain adjacent to zinc finger domain, 1B",BAZ1B_HUMAN,"Bromodomain PF00439 1348-1431, PHD PF00628 1186-1234, WAC_Acf1_DNA_bd PF10537 20-120, WHIM1 PF15612 724-773, WHIM2 PF15613 899-936, WHIM3 PF15614 991-1031",BAZ1B_MOUSE,Histone phosphorylation
BAZ2A,"H4K5, H4K8, H4K12","Chromatin remodeling, Histone modification erase",NoRC,"H4K16ac, DNA motif","bromodomain adjacent to zinc finger domain, 2A",BAZ2A_HUMAN,"Bromodomain PF00439 1802-1885, DDT PF02791 848-910, MBD PF01429 546-620, PHD PF00628 1678-1726, Pfam-B_14139 PB014139 1518-1541, Pfam-B_1702 PB001702 2-228, Pfam-B_25722 PB025722 1211-1279, Pfam-B_3124 PB003124 701-789 1085-1136, Pfam-B_32186 PB032186 1484-1516, Pfam-B_6766 PB006766 331-489, WHIM1 PF15612 950-999, WHIM3 PF15614 1439-1480",BAZ2A_MOUSE,Histone deacetylation
BAZ2B,#,Histone modification read,#,"H1.4ac, H2Aac, H2Bac, H3ac, H4Kac","bromodomain adjacent to zinc finger domain, 2B",BAZ2B_HUMAN,"Bromodomain PF00439 2069-2151, DDT PF02791 1087-1149, MBD PF01429 739-813, PHD PF00628 1933-1981, Pfam-B_10350 PB010350 521-649, Pfam-B_12038 PB012038 1200-1479, Pfam-B_13066 PB013066 91-399, Pfam-B_1587 PB001587 401-519, Pfam-B_17078 PB017078 1618-1728, Pfam-B_17427 PB017427 1-89, Pfam-B_9375 PB009375 1481-1616",#,#
BCOR,#,Polycomb group (PcG) protein,BCOR,#,BCL6 corepressor,BCOR_HUMAN,"Ank_2 PF12796 1460-1560, Pfam-B_11277 PB011277 41-289, Pfam-B_26758 PB026758 300-329, Pfam-B_27995 PB027995 1241-1359, Pfam-B_30654 PB030654 1361-1419, Pfam-B_5207 PB005207 421-1239",BCOR_MOUSE,#
BCORL1,#,Histone modification erase cofactor,BCOR,H3K36me2,BCL6 corepressor-like 1,BCORL_HUMAN,"Ank_2 PF12796 1410-1486 1426-1519, Pfam-B_1109 PB001109 110-149, Pfam-B_16739 PB016739 560-637, Pfam-B_20248 PB020248 740-800, Pfam-B_31169 PB031169 1-76, Pfam-B_8912 PB008912 383-533",BCORL_MOUSE,Histone deacetylation
BMI1,#,Polycomb group (PcG) protein,PRC1,#,"BMI1 proto-oncogene, polycomb ring finger",BMI1_HUMAN,zf-C3HC4 PF00097 18-56,BMI1_MOUSE,#
BPTF,#,Chromatin remodeling,NuRF,#,bromodomain PHD finger transcription factor,BPTF_HUMAN,"Bromodomain PF00439 2936-3019, DDT PF02791 240-300, PHD PF00628 392-437 2869-2918, Pfam-B_14861 PB014861 2113-2229, Pfam-B_26081 PB026081 91-205, Pfam-B_911 PB000911 1922-2111, Pfam-B_94218 PB094218 1-89, WHIM1 PF15612 339-388",#,#
BRCA1,#,"Histone modification write cofactor, TF","BRCC, BRCA1-A",DNA motif,"breast cancer 1, early onset",BRCA1_HUMAN,"BRCT PF00533 1648-1723 1756-1842, BRCT_assoc PF12820 344-508, EIN3 PF04873 648-978, Pfam-B_17893 PB017893 1404-1493, zf-C3HC4 PF00097 24-64",BRCA1_MOUSE,"Histone acetylation, Histone methylation, Histone ubiquitination, TF activator, TF repressor"
BRCA2,#,Histone modification write,BRCC,"H3, H4, ssDNA","breast cancer 2, early onset",BRCA2_HUMAN,"BRCA-2_OB1 PF09103 2670-2800, BRCA-2_OB3 PF09104 3052-3190, BRCA-2_helical PF09169 2479-2667, BRCA2 PF00634 1002-1036 1212-1246 1421-1455 1517-1551 1664-1698 1837-1871 1971-2005 2051-2085, Pfam-B_13057 PB013057 2141-2448, Pfam-B_47717 PB047717 2449-2478, Pfam-B_8258 PB008258 651-989, Tower PF09121 2831-2872",BRCA2_MOUSE,Histone acetylation
BRCC3,"H2A, H2AX",Histone modification erase,"BRISC, BRCA1-A","H2AK63, H2AXK63","BRCA1/BRCA2-containing complex, subunit 3",BRCC3_HUMAN,JAB PF01398 7-148,BRCC3_MOUSE,Histone deubiquitination
BRD1,#,Histone modification read,MOZ/MORF,"H3K36me3, H3",bromodomain containing 1,BRD1_HUMAN,"Bromodomain PF00439 571-654, EPL1 PF10513 46-196, PHD_2 PF13831 228-262, PWWP PF00855 927-1042, zf-HC5HC2H_2 PF13832 269-388",#,#
BRD2,#,Histone modification read,#,"H3K9me2, H3K14me2, H4K5ac, H4K12ac",bromodomain containing 2,BRD2_HUMAN,"Bromodomain PF00439 84-168 353-441, Pfam-B_12618 PB012618 624-776, Pfam-B_14336 PB014336 541-613",BRD2_MOUSE,#
BRD3,#,Histone modification read,#,"H3K9me2, H3K14me2, H4K5ac, H4K12ac",bromodomain containing 3,BRD3_HUMAN,Bromodomain PF00439 42-128 315-403,BRD3_MOUSE,#
BRD4,#,Histone modification read,#,"H3K9, H3K14, H4K5, H4K12",bromodomain containing 4,BRD4_HUMAN,"Bromodomain PF00439 67-152 357-445, Pfam-B_14896 PB014896 1187-1263, Pfam-B_15118 PB015118 509-647, Pfam-B_18611 PB018611 648-667, Pfam-B_24632 PB024632 833-892, Pfam-B_29595 PB029595 1283-1311, Pfam-B_35798 PB035798 1136-1185, Pfam-B_361 PB000361 1324-1357",BRD4_MOUSE,#
BRD7,#,Histone modification read,SWI/SNF BRM-BRG1,"H3K9ac, H3K14ac, H3K8ac",bromodomain containing 7,BRD7_HUMAN,"Bromodomain PF00439 140-223, DUF3512 PF12024 286-534, Pfam-B_1543 PB001543 591-649, Pfam-B_64177 PB064177 1-49",BRD7_MOUSE,#
BRD8,#,Histone modification read,"SWR, NuA4, NuA4-related complex",#,bromodomain containing 8,BRD8_HUMAN,"Bromodomain PF00439 713-799 1112-1195, Pfam-B_19676 PB019676 1-69, Pfam-B_55933 PB055933 71-109",BRD8_MOUSE,#
BRD9,#,Histone modification read,SWI/SNF BRM-BRG1,H3,bromodomain containing 9,BRD9_HUMAN,"Bromodomain PF00439 143-228, DUF3512 PF12024 268-505, Pfam-B_8260 PB008260 511-595",BRD9_MOUSE,#
BRDT,#,Histone modification read,#,"H4K5ac, H4K8ac","bromodomain, testis-specific",BRDT_HUMAN,"Bromodomain PF00439 36-121 276-364, Pfam-B_11430 PB011430 710-791",BRDT_MOUSE,#
BRE,#,Histone modification write cofactor,"BRISC, BRCC, BRCA1-A",#,brain and reproductive organ-expressed (TNFRSF1A modulator),BRE_HUMAN,BRE PF06113 1-333,BRE_MOUSE,Histone ubiquitination
BRMS1,#,Chromatin remodeling,mSin3A,#,breast cancer metastasis suppressor 1,BRMS1_HUMAN,Sds3 PF08598 58-229,BRMS1_MOUSE,#
BRMS1L,#,Histone modification erase,mSin3A,#,breast cancer metastasis-suppressor 1-like,BRM1L_HUMAN,Sds3 PF08598 59-227,BRM1L_MOUSE,Histone deacetylation
BRPF1,#,Histone modification read,MOZ/MORF,H3K36me3,"bromodomain and PHD finger containing, 1",BRPF1_HUMAN,"Bromodomain PF00439 637-720, EPL1 PF10513 105-255, PHD_2 PF13831 287-321, PWWP PF00855 1083-1198, zf-HC5HC2H_2 PF13832 328-447",#,#
BRPF3,#,Histone modification write cofactor,MOZ/MORF,#,"bromodomain and PHD finger containing, 3",BRPF3_HUMAN,"Bromodomain PF00439 598-681, EPL1 PF10513 47-194, PHD_2 PF13831 226-260, PWWP PF00855 1074-1189, Pfam-B_5327 PB005327 751-829, zf-HC5HC2H_2 PF13832 267-386",#,Histone acetylation
BRWD1,#,Histone modification read,#,H3,bromodomain and WD repeat domain containing 1,BRWD1_HUMAN,"Bromodomain PF00439 1166-1252 1322-1405, Pfam-B_18973 PB018973 859-924, Pfam-B_22078 PB022078 2089-2186, Pfam-B_27858 PB027858 1900-2087, Pfam-B_71 PB000071 2238-2318, Pfam-B_8184 PB008184 1821-1898, WD40 PF00400 177-214 218-256 260-302 358-396 458-497",BRWD1_MOUSE,#
BRWD3,#,Histone modification read,#,H3,bromodomain and WD repeat domain containing 3,BRWD3_HUMAN,"Bromodomain PF00439 1147-1233 1345-1418, Pfam-B_12397 PB012397 1669-1710, Pfam-B_2569 PB002569 9-97, WD40 PF00400 171-208 212-250 254-296 352-392 455-494 507-540",BRWD3_MOUSE,#
BUB1,H2AS121ph,Histone modification write,#,H2AS121,BUB1 mitotic checkpoint serine/threonine kinase,BUB1_HUMAN,"Mad3_BUB1_I PF08311 4-126, Pkinase PF00069 787-1033",BUB1_MOUSE,Histone phosphorylation
C11orf30,#,Histone modification write cofactor,#,#,chromosome 11 open reading frame 30,EMSY_HUMAN,"ENT PF03735 16-88, Pfam-B_10468 PB010468 695-833, Pfam-B_10943 PB010943 985-1113",EMSY_MOUSE,Histone methylation
